person1	person2	label
03a1e1a0-93c3-41a8-a905-a535ce8f2b09::span:7370:7378	03a1e1a0-93c3-41a8-a905-a535ce8f2b09::span:7450:7460	-1
03a1e1a0-93c3-41a8-a905-a535ce8f2b09::span:7928:7938	03a1e1a0-93c3-41a8-a905-a535ce8f2b09::span:8114:8127	-1
03a1e1a0-93c3-41a8-a905-a535ce8f2b09::span:8559:8571	03a1e1a0-93c3-41a8-a905-a535ce8f2b09::span:8603:8610	-1
03a1e1a0-93c3-41a8-a905-a535ce8f2b09::span:9918:9928	03a1e1a0-93c3-41a8-a905-a535ce8f2b09::span:9961:9967	-1
03ed46e9-8c68-4aba-9825-3732233699bc::span:8699:8706	03ed46e9-8c68-4aba-9825-3732233699bc::span:8987:8992	-1
03f338b2-c9af-4991-8daa-dc2d9bec9361::span:1785:1794	03f338b2-c9af-4991-8daa-dc2d9bec9361::span:1851:1857	-1
045996bd-37a0-4916-862d-431406568db8::span:1474:1480	045996bd-37a0-4916-862d-431406568db8::span:1560:1572	-1
045996bd-37a0-4916-862d-431406568db8::span:1777:1788	045996bd-37a0-4916-862d-431406568db8::span:2298:2313	-1
04bd012d-6ed3-4ed5-8af5-9f6b7c0e38e8::span:90:103	04bd012d-6ed3-4ed5-8af5-9f6b7c0e38e8::span:261:275	-1
04ded059-808d-4a5f-a0d9-599c26276673::span:37:52	04ded059-808d-4a5f-a0d9-599c26276673::span:103:119	1
056b1358-75fe-4c52-b198-05daf13f096b::span:11066:11078	056b1358-75fe-4c52-b198-05daf13f096b::span:11414:11425	-1
056b1358-75fe-4c52-b198-05daf13f096b::span:15706:15712	056b1358-75fe-4c52-b198-05daf13f096b::span:15891:15905	-1
056b1358-75fe-4c52-b198-05daf13f096b::span:17113:17119	056b1358-75fe-4c52-b198-05daf13f096b::span:17257:17262	-1
056b1358-75fe-4c52-b198-05daf13f096b::span:18550:18555	056b1358-75fe-4c52-b198-05daf13f096b::span:18634:18640	-1
056b1358-75fe-4c52-b198-05daf13f096b::span:20237:20243	056b1358-75fe-4c52-b198-05daf13f096b::span:20369:20384	-1
056b1358-75fe-4c52-b198-05daf13f096b::span:24239:24249	056b1358-75fe-4c52-b198-05daf13f096b::span:24291:24297	-1
056b1358-75fe-4c52-b198-05daf13f096b::span:24255:24268	056b1358-75fe-4c52-b198-05daf13f096b::span:24278:24285	-1
056b1358-75fe-4c52-b198-05daf13f096b::span:24226:24236	056b1358-75fe-4c52-b198-05daf13f096b::span:24278:24285	-1
056b1358-75fe-4c52-b198-05daf13f096b::span:25379:25391	056b1358-75fe-4c52-b198-05daf13f096b::span:25536:25542	-1
056b1358-75fe-4c52-b198-05daf13f096b::span:26518:26524	056b1358-75fe-4c52-b198-05daf13f096b::span:26676:26692	-1
058b81e0-b3f5-4079-8573-55c23d4ec918::span:2393:2401	058b81e0-b3f5-4079-8573-55c23d4ec918::span:2580:2583	1
05ae8661-f643-4974-ab9b-93648737e1ad::span:2585:2591	05ae8661-f643-4974-ab9b-93648737e1ad::span:2820:2824	-1
05cbbaac-a7c4-4674-8aeb-c1f6b6fce761::span:0:12	05cbbaac-a7c4-4674-8aeb-c1f6b6fce761::span:190:197	-1
05cbbaac-a7c4-4674-8aeb-c1f6b6fce761::span:150:159	05cbbaac-a7c4-4674-8aeb-c1f6b6fce761::span:190:197	-1
05cbbaac-a7c4-4674-8aeb-c1f6b6fce761::span:2086:2091	05cbbaac-a7c4-4674-8aeb-c1f6b6fce761::span:2262:2272	1
05d48f9b-530f-4f21-b255-dfbc866ac0a2::span:1290:1302	05d48f9b-530f-4f21-b255-dfbc866ac0a2::span:1377:1388	-1
05d48f9b-530f-4f21-b255-dfbc866ac0a2::span:2478:2491	05d48f9b-530f-4f21-b255-dfbc866ac0a2::span:2927:2932	-1
05d48f9b-530f-4f21-b255-dfbc866ac0a2::span:3381:3386	05d48f9b-530f-4f21-b255-dfbc866ac0a2::span:3585:3601	-1
05d48f9b-530f-4f21-b255-dfbc866ac0a2::span:3585:3601	05d48f9b-530f-4f21-b255-dfbc866ac0a2::span:3750:3755	-1
05d48f9b-530f-4f21-b255-dfbc866ac0a2::span:4948:4952	05d48f9b-530f-4f21-b255-dfbc866ac0a2::span:5003:5010	-1
05d48f9b-530f-4f21-b255-dfbc866ac0a2::span:6014:6026	05d48f9b-530f-4f21-b255-dfbc866ac0a2::span:6131:6141	-1
05e8a0ef-10ff-4c9b-93b1-54b1283535fa::span:3104:3114	05e8a0ef-10ff-4c9b-93b1-54b1283535fa::span:3322:3330	-1
061ccdaf-9182-47cf-9a27-2ce808f0aece::span:447:455	061ccdaf-9182-47cf-9a27-2ce808f0aece::span:610:624	-1
061ccdaf-9182-47cf-9a27-2ce808f0aece::span:447:455	061ccdaf-9182-47cf-9a27-2ce808f0aece::span:598:604	-1
06357d5c-5ffd-4a0b-b3ec-08cd2cc3fecc::span:2244:2254	06357d5c-5ffd-4a0b-b3ec-08cd2cc3fecc::span:2368:2375	-1
06357d5c-5ffd-4a0b-b3ec-08cd2cc3fecc::span:2321:2324	06357d5c-5ffd-4a0b-b3ec-08cd2cc3fecc::span:2421:2434	-1
06357d5c-5ffd-4a0b-b3ec-08cd2cc3fecc::span:2869:2879	06357d5c-5ffd-4a0b-b3ec-08cd2cc3fecc::span:3083:3096	-1
06526afa-616c-40a2-a02f-6bde6041e357::span:561:573	06526afa-616c-40a2-a02f-6bde6041e357::span:667:676	-1
06526afa-616c-40a2-a02f-6bde6041e357::span:713:716	06526afa-616c-40a2-a02f-6bde6041e357::span:806:811	-1
06526afa-616c-40a2-a02f-6bde6041e357::span:1811:1823	06526afa-616c-40a2-a02f-6bde6041e357::span:1919:1922	-1
0669ca8c-fa26-4312-8a88-2c98bfd380dd::span:346:349	0669ca8c-fa26-4312-8a88-2c98bfd380dd::span:769:780	-1
0669ca8c-fa26-4312-8a88-2c98bfd380dd::span:332:335	0669ca8c-fa26-4312-8a88-2c98bfd380dd::span:769:780	-1
0669ca8c-fa26-4312-8a88-2c98bfd380dd::span:1304:1315	0669ca8c-fa26-4312-8a88-2c98bfd380dd::span:1752:1764	-1
0669ca8c-fa26-4312-8a88-2c98bfd380dd::span:2343:2348	0669ca8c-fa26-4312-8a88-2c98bfd380dd::span:2549:2552	-1
0669ca8c-fa26-4312-8a88-2c98bfd380dd::span:2343:2348	0669ca8c-fa26-4312-8a88-2c98bfd380dd::span:2540:2543	-1
0669ca8c-fa26-4312-8a88-2c98bfd380dd::span:2737:2740	0669ca8c-fa26-4312-8a88-2c98bfd380dd::span:3220:3230	-1
067fad09-dfa2-42b6-ae46-49ed64275ab9::span:1220:1230	067fad09-dfa2-42b6-ae46-49ed64275ab9::span:1402:1411	-1
06cc6974-612f-4046-8371-d0e44d993f78::span:0:16	06cc6974-612f-4046-8371-d0e44d993f78::span:240:249	-1
06cc6974-612f-4046-8371-d0e44d993f78::span:60:76	06cc6974-612f-4046-8371-d0e44d993f78::span:240:249	-1
06fc3453-f0f2-47a2-8183-0bd6cbbdb76a::span:770:776	06fc3453-f0f2-47a2-8183-0bd6cbbdb76a::span:900:911	-1
06fc3453-f0f2-47a2-8183-0bd6cbbdb76a::span:770:776	06fc3453-f0f2-47a2-8183-0bd6cbbdb76a::span:1023:1032	-1
06fc3453-f0f2-47a2-8183-0bd6cbbdb76a::span:2042:2048	06fc3453-f0f2-47a2-8183-0bd6cbbdb76a::span:2294:2298	-1
06fc3453-f0f2-47a2-8183-0bd6cbbdb76a::span:2042:2048	06fc3453-f0f2-47a2-8183-0bd6cbbdb76a::span:2224:2229	-1
06fc3453-f0f2-47a2-8183-0bd6cbbdb76a::span:3742:3756	06fc3453-f0f2-47a2-8183-0bd6cbbdb76a::span:3795:3799	-1
06fc3453-f0f2-47a2-8183-0bd6cbbdb76a::span:5107:5111	06fc3453-f0f2-47a2-8183-0bd6cbbdb76a::span:5168:5181	-1
06fc3453-f0f2-47a2-8183-0bd6cbbdb76a::span:5215:5219	06fc3453-f0f2-47a2-8183-0bd6cbbdb76a::span:5334:5338	-1
06fc3453-f0f2-47a2-8183-0bd6cbbdb76a::span:5132:5143	06fc3453-f0f2-47a2-8183-0bd6cbbdb76a::span:5368:5374	-1
06fc3453-f0f2-47a2-8183-0bd6cbbdb76a::span:5368:5374	06fc3453-f0f2-47a2-8183-0bd6cbbdb76a::span:5455:5459	-1
06fc3453-f0f2-47a2-8183-0bd6cbbdb76a::span:6688:6703	06fc3453-f0f2-47a2-8183-0bd6cbbdb76a::span:6813:6816	-1
06fc3453-f0f2-47a2-8183-0bd6cbbdb76a::span:9012:9023	06fc3453-f0f2-47a2-8183-0bd6cbbdb76a::span:9199:9213	-1
06fc3453-f0f2-47a2-8183-0bd6cbbdb76a::span:9985:9991	06fc3453-f0f2-47a2-8183-0bd6cbbdb76a::span:10082:10088	-1
06fc3453-f0f2-47a2-8183-0bd6cbbdb76a::span:10082:10088	06fc3453-f0f2-47a2-8183-0bd6cbbdb76a::span:10291:10304	-1
0727bd13-b0ab-4e2a-9e3d-9c93b6348a2b::span:3993:4005	0727bd13-b0ab-4e2a-9e3d-9c93b6348a2b::span:4194:4198	-1
079679db-aa3d-4d59-a9d2-6c4a3d65589c::span:71:82	079679db-aa3d-4d59-a9d2-6c4a3d65589c::span:258:262	-1
07d7a528-1959-4bc8-8bb2-d2cbf2e1579f::span:27:38	07d7a528-1959-4bc8-8bb2-d2cbf2e1579f::span:428:438	-1
0839676b-99ed-47de-b934-d727f3b965aa::span:2402:2407	0839676b-99ed-47de-b934-d727f3b965aa::span:2742:2747	-1
0839676b-99ed-47de-b934-d727f3b965aa::span:2831:2836	0839676b-99ed-47de-b934-d727f3b965aa::span:2982:2987	-1
0851ddd6-c1e5-4f99-80d8-d8cfb66111aa::span:4020:4032	0851ddd6-c1e5-4f99-80d8-d8cfb66111aa::span:4126:4137	-1
0904249a-07a6-41fe-ad3e-6bfb12d21fcd::span:0:10	0904249a-07a6-41fe-ad3e-6bfb12d21fcd::span:340:349	-1
0904249a-07a6-41fe-ad3e-6bfb12d21fcd::span:3097:3106	0904249a-07a6-41fe-ad3e-6bfb12d21fcd::span:3174:3180	-1
0951b045-1466-477f-a148-351a982d9bc9::span:4141:4153	0951b045-1466-477f-a148-351a982d9bc9::span:4518:4534	-1
09be335b-d1c7-4712-ad2d-a814374857d5::span:2675:2682	09be335b-d1c7-4712-ad2d-a814374857d5::span:2762:2774	-1
09cd2a7e-7963-45ea-8bf7-e58de8bbb363::span:8097:8104	09cd2a7e-7963-45ea-8bf7-e58de8bbb363::span:8212:8227	-1
0a7d0b54-04f8-4a6d-88cd-b8fb8031c7fc::span:795:806	0a7d0b54-04f8-4a6d-88cd-b8fb8031c7fc::span:845:847	-1
0a8d511a-9e79-4666-9816-735020f3580e::span:210:220	0a8d511a-9e79-4666-9816-735020f3580e::span:333:346	1
0a8d511a-9e79-4666-9816-735020f3580e::span:333:346	0a8d511a-9e79-4666-9816-735020f3580e::span:567:577	1
0a9258f6-782c-4e4c-b502-104ca0abfc61::span:394:404	0a9258f6-782c-4e4c-b502-104ca0abfc61::span:637:652	-1
0aa3ae4d-6f22-4d75-9d96-29cdc698fc57::span:1215:1220	0aa3ae4d-6f22-4d75-9d96-29cdc698fc57::span:1495:1511	-1
0ac6cedc-ca24-4c29-9d1b-b72ba7c1a4cd::span:277:284	0ac6cedc-ca24-4c29-9d1b-b72ba7c1a4cd::span:342:345	-1
0ae04959-1b56-4cab-b757-955b0ca41963::span:327:338	0ae04959-1b56-4cab-b757-955b0ca41963::span:504:516	-1
0ae04959-1b56-4cab-b757-955b0ca41963::span:539:541	0ae04959-1b56-4cab-b757-955b0ca41963::span:647:651	-1
0ae04959-1b56-4cab-b757-955b0ca41963::span:2483:2485	0ae04959-1b56-4cab-b757-955b0ca41963::span:2570:2582	-1
0b3b17eb-0960-4bfd-8434-b414bc1b60ff::span:0:13	0b3b17eb-0960-4bfd-8434-b414bc1b60ff::span:177:187	-1
0b6e31d9-bad0-46ef-ba73-ea7c7155bacf::span:1134:1141	0b6e31d9-bad0-46ef-ba73-ea7c7155bacf::span:1217:1220	-1
0b6f824b-20e3-4260-945f-9df78013a6de::span:4759:4769	0b6f824b-20e3-4260-945f-9df78013a6de::span:5108:5116	-1
0b6f824b-20e3-4260-945f-9df78013a6de::span:5108:5116	0b6f824b-20e3-4260-945f-9df78013a6de::span:5464:5469	-1
0c4752fc-175a-4e47-9110-906dd1ab9518::span:1692:1696	0c4752fc-175a-4e47-9110-906dd1ab9518::span:1868:1876	-1
0c4752fc-175a-4e47-9110-906dd1ab9518::span:1692:1696	0c4752fc-175a-4e47-9110-906dd1ab9518::span:1898:1912	-1
0c4752fc-175a-4e47-9110-906dd1ab9518::span:2070:2084	0c4752fc-175a-4e47-9110-906dd1ab9518::span:2235:2239	-1
0c4752fc-175a-4e47-9110-906dd1ab9518::span:5689:5695	0c4752fc-175a-4e47-9110-906dd1ab9518::span:5873:5884	-1
0d3bbf87-81f0-4179-b494-4f355c6bf5b5::span:164:176	0d3bbf87-81f0-4179-b494-4f355c6bf5b5::span:373:384	-1
0d8d9db2-825b-4cb9-84c1-6f14a1ef2de5::span:1250:1257	0d8d9db2-825b-4cb9-84c1-6f14a1ef2de5::span:1419:1430	-1
0e09245b-76c7-4eab-8da5-375ac0e0b6aa::span:3644:3649	0e09245b-76c7-4eab-8da5-375ac0e0b6aa::span:3659:3664	-1
0e096c27-82f7-4be6-a257-212745e4fc88::span:190:204	0e096c27-82f7-4be6-a257-212745e4fc88::span:406:408	-1
0e096c27-82f7-4be6-a257-212745e4fc88::span:210:220	0e096c27-82f7-4be6-a257-212745e4fc88::span:406:408	-1
0e096c27-82f7-4be6-a257-212745e4fc88::span:4656:4667	0e096c27-82f7-4be6-a257-212745e4fc88::span:4769:4771	-1
0e2f2d34-84d6-4384-bb5c-af2e8937275f::span:1480:1483	0e2f2d34-84d6-4384-bb5c-af2e8937275f::span:1573:1577	-1
0e2f2d34-84d6-4384-bb5c-af2e8937275f::span:1573:1577	0e2f2d34-84d6-4384-bb5c-af2e8937275f::span:1860:1865	-1
0e55853d-cda4-4946-b61d-93c9a4841d73::span:1029:1044	0e55853d-cda4-4946-b61d-93c9a4841d73::span:1270:1279	-1
0eb3ef0a-f3bf-417c-a973-fc5bbd19864f::span:3511:3524	0eb3ef0a-f3bf-417c-a973-fc5bbd19864f::span:3632:3642	1
0eb9c129-2500-46d0-a266-d7468a707723::span:179:191	0eb9c129-2500-46d0-a266-d7468a707723::span:518:527	-1
0eb9c129-2500-46d0-a266-d7468a707723::span:1241:1246	0eb9c129-2500-46d0-a266-d7468a707723::span:1392:1402	-1
0eb9c129-2500-46d0-a266-d7468a707723::span:1241:1246	0eb9c129-2500-46d0-a266-d7468a707723::span:1408:1420	-1
0f04aa8d-6a04-4dc7-911b-8f09b3871967::span:2477:2484	0f04aa8d-6a04-4dc7-911b-8f09b3871967::span:2550:2555	-1
0f04aa8d-6a04-4dc7-911b-8f09b3871967::span:2477:2484	0f04aa8d-6a04-4dc7-911b-8f09b3871967::span:2604:2616	-1
0f04aa8d-6a04-4dc7-911b-8f09b3871967::span:2368:2370	0f04aa8d-6a04-4dc7-911b-8f09b3871967::span:2684:2699	-1
0f0b03b7-a7db-4b97-a7a1-48a773ef70b7::span:1125:1132	0f0b03b7-a7db-4b97-a7a1-48a773ef70b7::span:1202:1224	-1
0f0b03b7-a7db-4b97-a7a1-48a773ef70b7::span:2920:2926	0f0b03b7-a7db-4b97-a7a1-48a773ef70b7::span:2959:2966	-1
0f1241e3-3ed8-4239-aab2-abc26d6dcaba::span:0:10	0f1241e3-3ed8-4239-aab2-abc26d6dcaba::span:242:256	1
0f293e32-e521-4339-99b4-386191068dde::span:964:978	0f293e32-e521-4339-99b4-386191068dde::span:1117:1136	-1
0f293e32-e521-4339-99b4-386191068dde::span:1117:1136	0f293e32-e521-4339-99b4-386191068dde::span:1213:1220	-1
0f293e32-e521-4339-99b4-386191068dde::span:1213:1220	0f293e32-e521-4339-99b4-386191068dde::span:1332:1346	-1
0f45a001-f197-4552-925e-82d54a3450ce::span:8209:8222	0f45a001-f197-4552-925e-82d54a3450ce::span:8338:8350	-1
0f45a001-f197-4552-925e-82d54a3450ce::span:8338:8350	0f45a001-f197-4552-925e-82d54a3450ce::span:8417:8429	-1
0f45a001-f197-4552-925e-82d54a3450ce::span:8338:8350	0f45a001-f197-4552-925e-82d54a3450ce::span:8393:8398	-1
0f9d4c3e-b1e7-4b8a-a0b0-e7c72ff8aa19::span:223:234	0f9d4c3e-b1e7-4b8a-a0b0-e7c72ff8aa19::span:239:248	-1
0fce0a18-33b8-4def-8a0e-05150d7ba030::span:1361:1365	0fce0a18-33b8-4def-8a0e-05150d7ba030::span:1410:1418	-1
0fce0a18-33b8-4def-8a0e-05150d7ba030::span:1608:1619	0fce0a18-33b8-4def-8a0e-05150d7ba030::span:2162:2170	-1
0fce0a18-33b8-4def-8a0e-05150d7ba030::span:1635:1649	0fce0a18-33b8-4def-8a0e-05150d7ba030::span:1679:1684	-1
0fce0a18-33b8-4def-8a0e-05150d7ba030::span:3797:3801	0fce0a18-33b8-4def-8a0e-05150d7ba030::span:4065:4083	-1
0fce0a18-33b8-4def-8a0e-05150d7ba030::span:4546:4555	0fce0a18-33b8-4def-8a0e-05150d7ba030::span:4591:4596	-1
0fce0a18-33b8-4def-8a0e-05150d7ba030::span:4591:4596	0fce0a18-33b8-4def-8a0e-05150d7ba030::span:4620:4624	-1
0fce0a18-33b8-4def-8a0e-05150d7ba030::span:9362:9371	0fce0a18-33b8-4def-8a0e-05150d7ba030::span:9464:9472	-1
0fce0a18-33b8-4def-8a0e-05150d7ba030::span:11063:11067	0fce0a18-33b8-4def-8a0e-05150d7ba030::span:11425:11427	-1
0fce0a18-33b8-4def-8a0e-05150d7ba030::span:11086:11094	0fce0a18-33b8-4def-8a0e-05150d7ba030::span:11425:11427	-1
0fce0a18-33b8-4def-8a0e-05150d7ba030::span:11255:11259	0fce0a18-33b8-4def-8a0e-05150d7ba030::span:11425:11427	-1
0fce0a18-33b8-4def-8a0e-05150d7ba030::span:11614:11620	0fce0a18-33b8-4def-8a0e-05150d7ba030::span:11692:11697	-1
0fce0a18-33b8-4def-8a0e-05150d7ba030::span:11579:11588	0fce0a18-33b8-4def-8a0e-05150d7ba030::span:11692:11697	-1
0fce0a18-33b8-4def-8a0e-05150d7ba030::span:11675:11678	0fce0a18-33b8-4def-8a0e-05150d7ba030::span:11785:11794	-1
0fce0a18-33b8-4def-8a0e-05150d7ba030::span:11675:11678	0fce0a18-33b8-4def-8a0e-05150d7ba030::span:11831:11836	-1
0fce0a18-33b8-4def-8a0e-05150d7ba030::span:11692:11697	0fce0a18-33b8-4def-8a0e-05150d7ba030::span:12058:12060	-1
0fce0a18-33b8-4def-8a0e-05150d7ba030::span:11831:11836	0fce0a18-33b8-4def-8a0e-05150d7ba030::span:12123:12127	-1
0fce0a18-33b8-4def-8a0e-05150d7ba030::span:12588:12590	0fce0a18-33b8-4def-8a0e-05150d7ba030::span:12768:12783	-1
0fce0a18-33b8-4def-8a0e-05150d7ba030::span:12588:12590	0fce0a18-33b8-4def-8a0e-05150d7ba030::span:12750:12758	-1
0fce0a18-33b8-4def-8a0e-05150d7ba030::span:12686:12688	0fce0a18-33b8-4def-8a0e-05150d7ba030::span:12768:12783	-1
0fce0a18-33b8-4def-8a0e-05150d7ba030::span:12719:12723	0fce0a18-33b8-4def-8a0e-05150d7ba030::span:12750:12758	-1
0fce0a18-33b8-4def-8a0e-05150d7ba030::span:14302:14305	0fce0a18-33b8-4def-8a0e-05150d7ba030::span:14373:14377	-1
0fce0a18-33b8-4def-8a0e-05150d7ba030::span:15101:15105	0fce0a18-33b8-4def-8a0e-05150d7ba030::span:15150:15154	-1
0fce0a18-33b8-4def-8a0e-05150d7ba030::span:16627:16634	0fce0a18-33b8-4def-8a0e-05150d7ba030::span:16695:16699	-1
0fce0a18-33b8-4def-8a0e-05150d7ba030::span:18834:18846	0fce0a18-33b8-4def-8a0e-05150d7ba030::span:19045:19048	-1
0fce0a18-33b8-4def-8a0e-05150d7ba030::span:18834:18846	0fce0a18-33b8-4def-8a0e-05150d7ba030::span:18993:19006	-1
0fce0a18-33b8-4def-8a0e-05150d7ba030::span:18849:18861	0fce0a18-33b8-4def-8a0e-05150d7ba030::span:19045:19048	-1
0fce0a18-33b8-4def-8a0e-05150d7ba030::span:18849:18861	0fce0a18-33b8-4def-8a0e-05150d7ba030::span:18993:19006	-1
0ff8074e-7fec-4823-a9bf-4bb2cfa2c952::span:0:12	0ff8074e-7fec-4823-a9bf-4bb2cfa2c952::span:256:267	1
0ff8074e-7fec-4823-a9bf-4bb2cfa2c952::span:592:595	0ff8074e-7fec-4823-a9bf-4bb2cfa2c952::span:844:855	-1
0ff8074e-7fec-4823-a9bf-4bb2cfa2c952::span:528:539	0ff8074e-7fec-4823-a9bf-4bb2cfa2c952::span:844:855	-1
0ff8074e-7fec-4823-a9bf-4bb2cfa2c952::span:754:764	0ff8074e-7fec-4823-a9bf-4bb2cfa2c952::span:1010:1022	-1
0ff8074e-7fec-4823-a9bf-4bb2cfa2c952::span:788:796	0ff8074e-7fec-4823-a9bf-4bb2cfa2c952::span:1010:1022	-1
1030364b-ed94-4840-a9f8-b92b157d95f1::span:134:145	1030364b-ed94-4840-a9f8-b92b157d95f1::span:373:392	-1
1030364b-ed94-4840-a9f8-b92b157d95f1::span:444:452	1030364b-ed94-4840-a9f8-b92b157d95f1::span:891:905	-1
1030364b-ed94-4840-a9f8-b92b157d95f1::span:613:624	1030364b-ed94-4840-a9f8-b92b157d95f1::span:891:905	-1
1030364b-ed94-4840-a9f8-b92b157d95f1::span:1042:1052	1030364b-ed94-4840-a9f8-b92b157d95f1::span:1347:1358	-1
1030364b-ed94-4840-a9f8-b92b157d95f1::span:1347:1358	1030364b-ed94-4840-a9f8-b92b157d95f1::span:1638:1650	-1
1030364b-ed94-4840-a9f8-b92b157d95f1::span:1638:1650	1030364b-ed94-4840-a9f8-b92b157d95f1::span:1770:1775	-1
1030364b-ed94-4840-a9f8-b92b157d95f1::span:1940:1945	1030364b-ed94-4840-a9f8-b92b157d95f1::span:2099:2110	-1
1030364b-ed94-4840-a9f8-b92b157d95f1::span:1940:1945	1030364b-ed94-4840-a9f8-b92b157d95f1::span:2029:2041	-1
1030364b-ed94-4840-a9f8-b92b157d95f1::span:1940:1945	1030364b-ed94-4840-a9f8-b92b157d95f1::span:2047:2060	-1
1030364b-ed94-4840-a9f8-b92b157d95f1::span:1940:1945	1030364b-ed94-4840-a9f8-b92b157d95f1::span:2128:2140	-1
1030364b-ed94-4840-a9f8-b92b157d95f1::span:2047:2060	1030364b-ed94-4840-a9f8-b92b157d95f1::span:2207:2215	-1
1030364b-ed94-4840-a9f8-b92b157d95f1::span:2207:2215	1030364b-ed94-4840-a9f8-b92b157d95f1::span:2370:2382	-1
